name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-22,22,113.08444,31.63088,113.0846444112248,31.68908325987094,0.1805,1144.621,19.808,19.822,120.091,4.969,XMMXCS J073220.2+313751.1,1.0372952,Y,
SDSSXCS-103,103,117.70904,17.69577,117.75313829352673,17.63160179161503,0.1839,872.82,22.495,22.601,112.266,5.978,XMMXCS J075050.1+174144.7,1.0234092,Y,
SDSSXCS-212,212,125.82697,15.96613,125.83033267095192,15.96272470961174,0.1564,785.518,23.753,23.935,82.076,3.868,XMMXCS J082318.4+155758.0,0.9612652,Y,
SDSSXCS-19922,19922,126.05448,30.07693,126.05424994258313,30.077101237901907,0.3186,554.829,26.591,51.955,30.011,3.809,XMMXCS J082413.0+300436.9,0.7860594,,Y
SDSSXCS-890,890,126.48946,4.24601,126.4909449245828,4.246738507670513,0.2349,960.169,27.204,27.233,61.589,3.85,XMMXCS J082557.4+041445.6,0.9076115,Y,
SDSSXCS-31,31,130.74006,36.365,130.7398189043654,36.36646003953564,0.2965,1424.488,56.891,56.388,139.984,4.858,XMMXCS J084257.6+362154.0,1.0695857,Y,
SDSSXCS-325,325,132.61125,0.25175,132.59971858822274,0.2601200744886376,0.1983,749.354,24.06,24.216,68.408,3.212,XMMXCS J085026.7+001506.2,0.92687416,,Y
SDSSXCS-26424,26424,133.23206,17.96369,133.22122208868575,17.955132923642093,0.201,533.61,52.655,45.532,22.658,2.525,XMMXCS J085255.6+175749.2,0.74309397,,Y
SDSSXCS-5159,5159,134.16993,5.89533,134.16968581790175,5.896486307550947,0.1004,866.119,32.584,36.59,24.9,1.825,XMMXCS J085640.7+055343.1,0.75725305,Y,
SDSSXCS-9803,9803,135.15352,20.89461,135.17569593487957,20.895259627353347,0.2529,841.265,14.57,14.583,27.082,2.508,XMMXCS J090036.8+205340.6,0.7700794,Y,
SDSSXCS-1884,1884,137.21898,28.86193,137.21957030176418,28.862261401016088,0.2538,850.944,50.117,57.533,50.452,3.209,XMMXCS J090852.5+285142.9,0.87212026,,Y
SDSSXCS-5,5,137.30206,10.97534,137.30074463519105,10.97359493545774,0.1705,1065.073,23.39,21.616,174.704,4.948,XMMXCS J090912.4+105831.2,1.1180485,Y,
SDSSXCS-13,13,139.46774,51.72574,139.47258307756059,51.72709579554531,0.2269,1235.474,24.557,24.555,153.607,4.74,XMMXCS J091752.2+514332.6,1.0896373,Y,
SDSSXCS-5225,5225,140.07752,37.10619,140.0782261196789,37.10509823702098,0.2356,681.168,13.922,13.927,37.257,2.954,XMMXCS J092018.6+370622.2,0.8208074000000001,,Y
SDSSXCS-21,21,140.08869,30.50404,140.12508065960202,30.49634663477048,0.3051,1075.2,19.166,19.178,128.649,5.674,XMMXCS J092021.2+303014.5,0.82703066,Y,
SDSSXCS-23,23,140.21912,30.46765,140.21889165811078,30.46118717712651,0.2942,746.532,23.679,23.808,38.691,5.168,XMMXCS J092052.5+302803.5,1.0516751,Y,
SDSSXCS-617,617,143.03773,29.08374,143.03589195768896,29.067815263131827,0.2999,828.879,54.469,74.291,92.205,5.939,XMMXCS J093209.0+290501.4,0.9839004000000001,Y,
SDSSXCS-6245,6245,145.93562,16.73934,145.93605355906558,16.740433460516588,0.185,673.851,47.231,48.148,35.914,3.238,XMMXCS J094344.5+164421.6,0.81480515,Y,
SDSSXCS-21847,21847,146.37836,9.77578,146.37949180671885,9.776276968822057,0.2382,572.159,27.941,28.244,24.855,2.771,XMMXCS J094530.8+094632.8,0.75697446,,Y
SDSSXCS-22748,22748,150.22343,15.67586,150.2164510170083,15.66762915773998,0.3123,619.947,73.71,75.983,20.827,2.533,XMMXCS J100053.6+154033.0,0.7306786,,Y
SDSSXCS-9,9,150.61494,20.51727,150.55890608070382,20.537949366927048,0.3237,914.715,54.163,55.903,151.364,5.761,XMMXCS J100227.5+203102.1,1.086437,Y,
SDSSXCS-8060,8060,151.92679,38.01281,151.9271992053358,38.012940879585145,0.105,868.889,19.371,19.339,24.244,1.974,XMMXCS J100742.4+380046.1,0.75322056,Y,
SDSSXCS-15984,15984,154.26427,39.04727,154.26514811058766,39.04705567112772,0.2052,1127.351,18.575,18.585,31.796,3.919,XMMXCS J101703.4+390250.1,0.79519445,Y,
SDSSXCS-75,75,154.39996,59.56396,154.39302393136964,59.561061039218615,0.2891,1246.414,63.542,85.653,123.768,4.943,XMMXCS J101735.9+593350.2,1.0435699,Y,
SDSSXCS-667,667,155.91568,4.18758,155.91948070646754,4.187515165496148,0.2917,1022.65,14.188,14.188,73.533,3.963,XMMXCS J102339.7+041115.3,0.9403655000000001,Y,
